3113889.6875	-3466877.125	-7907639.5
3023485.125	-3494136.3125	-7882758.0625
2932089.125	-3520038.375	-7857755.25
2839723.8125	-3544668.5625	-7832691.875
2746414.8125	-3568110.875	-7807621.125
2652187.8125	-3590450.25	-7782600.625
2557070.6875	-3611770.4375	-7757683.0625
2461095.8125	-3632149.625	-7732907
2364294.625	-3651664.0625	-7708311.125
2266703.6875	-3670391.25	-7683934.5625
2168361.1875	-3688404.875	-7659804.5625
2069304.1875	-3705773.9375	-7635943.1875
1969575.5	-3722564.4375	-7612371.9375
1869221.1875	-3738844.3125	-7589107.8125
1768286.375	-3754675	-7566153.125
1666818.4375	-3770114.3125	-7543513.9375
1564869.5625	-3785217.125	-7521190.625
1462492	-3800039.0625	-7499180.8125
1359738.8125	-3814628.375	-7477465.25
1256667.6875	-3829030	-7456029.6875
1153338.3125	-3843287.125	-7434855.375
1049808.0625	-3857441.3125	-7413920.875
946139.0625	-3871527.375	-7393186.875
842395.9375	-3885576.9375	-7372619.6875
738644	-3899620.125	-7352183.0625
634946.25	-3913684.375	-7331837.3125
531371.75	-3927791.0625	-7311525.625
427990.3125	-3941958.5625	-7291196.3125
324869.6875	-3956203.4375	-7270797.6875
222079.75	-3970539.4375	-7250273.8125
119692.125	-3984975.5625	-7229553.1875
17779.5625	-3999516.3125	-7208568.75
-83588.375	-4014165.9375	-7187256
-184337.6875	-4028925.75	-7165545.0625
-284395.875	-4043792.6875	-7143352.9375
-383691.4375	-4058758.1875	-7120600.9375
-482152.9375	-4073816.25	-7097214.375
-579706.125	-4088956.8125	-7073113
-676280.5	-4104165.6875	-7048206.1875
-771807.6875	-4119421.5625	-7022405.625
-866216.3125	-4134711.6875	-6995630.875
-959435	-4150017.1875	-6967796.5625
-1051398.75	-4165312.5625	-6938807.1875
-1142042.875	-4180568.375	-6908569.625
-1231300.5	-4195763	-6876998.875
-1319105.3125	-4210872.75	-6844010
-1405400.1875	-4225861.875	-6809506.25
-1490126.0625	-4240698	-6773395.3125
-1573223.6875	-4255351.375	-6735590.5625
-1654635.25	-4269792.875	-6696010.375
-1734312	-4283982.9375	-6654562.625
-1812203.9375	-4297887.375	-6611158.9375
-1888262	-4311468.75	-6565716.1875
-1962440	-4324695	-6518157.5625
-2034698.6875	-4337529.375	-6468400.5625
-2104998.8125	-4349932.625	-6416366.25
-2173303.3125	-4361865.4375	-6361977.875
-2239579.9375	-4373294.8125	-6305166.625
